song,artist,track_id,album_id,album_name,artist_id,popularity,release_date,track_duration_ms
Gang Baby,NLE Choppa,76Ku9OBFK1NjMylR8r4WLK,1oA2UN6nt7jhEuVtiCeCke,SLUT SZN,0ErzCpIMyLcjPiwT4elrtZ,82.0,2024-09-27,138180.0
Khe?,Rauw Alejandro & Romeo Santos,1YYfyJ2yCvGFCxwjsIqEK9,0aX0UXrHG2ceYIxTQcqJdA,Cosa Nuestra,1mcTU81TzQhprhouKaTkpq,88.0,2024-11-15,206066.0
Brokey,Latto,1JF8LkQWZ8grXb2emqrNKn,1S9LGRodo5jsXGsMeVaYNp,Sugar Honey Iced Tea,3MdXrJWsbVzdn6fe5JYkSQ,70.0,2024-08-09,217613.0
Rosones,Tito Double P,0LTwdL5yZ6YOTEGUQPFuSN,5cQfpT5TqmekHpZqYDcGTL,ROSONES,5eumcnUkdmGvkvcsx1WFNG,88.0,2024-12-05,177590.0
Juno,Sabrina Carpenter,21B4gaTWnTkuSh77iWEXdS,3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,74KM79TiuVKeVCqs8QtB0B,86.0,2024-08-23,223192.0
Nadie,Tito Double P,7sd6zMrgGpEa7NkQm9TRrg,2op3VYOlPBj8PhFxLEQ0Ol,NADIE,5eumcnUkdmGvkvcsx1WFNG,88.0,2024-11-21,197031.0
What Is This Feeling?,Ariana Grande & Cynthia Erivo,7eGuPhpdS8sBjPJNuAShUX,3JUrJP460nFIqwjxM19slT,Wicked: The Soundtrack,66CXWjxzNUsdJxJ2JdwvnR,84.0,2024-11-22,228947.0
El Club,Bad Bunny,0iKo4pNNjHHdKUcFARlfCa,5K79FLRUCSysQnVESLcTdb,DeBÍ TiRAR MáS FOToS,4q3ewBCX7sLwd24euuV69X,66.0,2025-01-05,222568.0
Pitorro de Coco,Bad Bunny,1OSOHTBFkIkhUtxhOyUksc,0K1PZ5xlzj8VctBaoAtTly,PIToRRO DE COCO,4q3ewBCX7sLwd24euuV69X,80.0,2024-12-26,206627.0
The Largest,BigXthaPlug,3neOwym9kfYsM1QWaR77C1,6LU7SYL9BWAt3TgEK4DdAc,TAKE CARE,6qxpnaukVayrQn6ViNvu9I,74.0,2024-10-11,132160.0
Wondering Why,The Red Clay Strays,1HbzxLqpNVPdiBXvpC7Ovb,1TGX3TzhBOkAOWyoS3TWVF,Moment of Truth,6IKlXZEFOvk9itrP1s0knJ,80.0,2022-04-29,232917.0
Ends Of The Earth,Ty Myers,30rU9CBF5cwiexNHJffkLS,59IUArxnHB64BUCM3hKTwQ,Ends of the Earth,1Gh0pCAxpjw0Iq3JMoVAwO,72.0,2024-10-18,269830.0
Chill Baby,SZA,0qpdzfTxAkOREtvvGO5oew,3VQkNrG74QPY4rHBPoyZYZ,SOS Deluxe: LANA,7tYKF4w9nC0nq9CsPZTHyP,78.0,2024-12-20,140637.0
Holy Smokes,Bailey Zimmerman,1kMWJ16W3Yk3hyNmaM7jfQ,389w7hzxpiOmpGEWFCNEoP,Holy Smokes,3win9vGIxFfBRag9S63wwf,75.0,2024-02-23,195157.0
High Road,Zach Bryan,4CcozggmhXmndssEDH6YHR,5cWglkyJvWPOeH14VLvbeu,High Road,40ZNYROS4zLfyyBSs2PGe2,75.0,2024-11-07,199893.0
On One Tonight,Gunna,6EUcP55GlbmsmCzfL2vxtZ,7g0PJ7VbsOkYTECUFkyNPN,One of Wun,2hlmm7s2ICUX0LVIhVFlZQ,84.0,2024-05-10,90760.0
Cowboy Songs,George Birge,7LV9OX6WfOTndB4BqoXDEE,6oYFjTGEuRoK7oeJisREF5,Cowboy Songs,27R1aBy7FfkYevfYen4sMp,56.0,2024-02-23,187186.0
On Efface,Julie Zenatti,461NMvaRN71kiSsM07Gin6,3BLrimupSbm8nWwsM7jpKV,Comme vous...,3CoYG5pUuCzGnXzPoOkaNY,1.0,2004-03-21,253000.0
